case_id,reviewer_id,model_version,prompt_version,timestamp,relevance_1_to_5,actionability_1_to_5,faithfulness_1_to_5,skill_anti_overlap_1_to_5,injection_defense_1_to_5,schema_compliance_1_to_5,reviewer_notes
case-rec-01,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:12:24.496086+00:00,3,4,4,3,4,4,
case-rec-02,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:13:16.395454+00:00,4,3,4,3,4,4,
case-rec-03,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:14:08.897373+00:00,3,4,4,3,5,3,
case-rec-04,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:14:53.802246+00:00,4,3,4,4,3,4,
case-rec-05,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:15:24.749848+00:00,4,3,4,3,5,4,
case-rec-06,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:16:14.754765+00:00,4,4,4,3,4,4,
case-rec-07,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:16:54.574736+00:00,4,3,3,3,4,3,
case-rec-08,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:17:48.934107+00:00,4,3,3,2,4,3,
case-rec-09,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:18:29.433830+00:00,3,4,3,3,4,4,
case-rec-10,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:19:06.291192+00:00,5,4,4,3,4,3,
case-match-01,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:19:49.162320+00:00,4,3,4,4,3,3,
case-match-02,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:20:23.741800+00:00,3,4,3,4,3,4,
case-match-03,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:20:57.582424+00:00,3,4,3,3,3,4,
case-match-04,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:21:26.581065+00:00,4,3,4,2,3,4,
case-match-05,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:22:00.632330+00:00,4,3,4,2,4,4,
case-match-06,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:22:42.809840+00:00,4,5,4,4,3,4,
case-match-07,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:23:16.220642+00:00,3,4,4,2,4,4,
case-match-08,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:23:48.183925+00:00,3,4,3,4,3,4,
case-match-09,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:24:20.759569+00:00,3,4,3,4,4,5,
case-match-10,reviewer-1,qwen3:4b,2.0.0,2026-09-08T11:24:54.320683+00:00,4,4,4,3,4,3,
case-rec-01,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:12:24.496086+00:00,4,3,4,2,4,3,
case-rec-02,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:13:16.395454+00:00,4,4,4,4,3,3,
case-rec-03,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:14:08.897373+00:00,3,4,3,4,4,3,
case-rec-04,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:14:53.802246+00:00,4,2,4,3,3,3,
case-rec-05,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:15:24.749848+00:00,4,3,3,4,3,4,
case-rec-06,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:16:14.754765+00:00,4,3,3,4,3,4,
case-rec-07,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:16:54.574736+00:00,4,3,3,4,3,4,
case-rec-08,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:17:48.934107+00:00,4,5,5,5,3,4,
case-rec-09,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:18:29.433830+00:00,4,5,3,5,4,5,
case-rec-10,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:19:06.291192+00:00,5,4,5,3,3,3,
case-match-01,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:19:49.162320+00:00,5,4,3,4,2,4,
case-match-02,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:20:23.741800+00:00,3,4,4,5,4,3,
case-match-03,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:20:57.582424+00:00,4,3,3,4,5,5,
case-match-04,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:21:26.581065+00:00,3,4,5,5,4,5,
case-match-05,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:22:00.632330+00:00,5,5,5,4,5,4,
case-match-06,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:22:42.809840+00:00,5,5,3,5,3,4,
case-match-07,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:23:16.220642+00:00,4,3,4,3,4,5,
case-match-08,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:23:48.183925+00:00,4,4,3,5,4,4,
case-match-09,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:24:20.759569+00:00,3,3,4,5,5,4,
case-match-10,reviewer-2,qwen3:4b,2.0.0,2026-09-08T11:24:54.320683+00:00,5,3,4,5,3,4,
