pair_id,target_role,resume_text,job_description,score_0_to_100,reviewer_notes
"pair-standard-match-01","Senior Data Scientist","Senior Data Scientist with 5 years experience in Python, Pandas, NumPy, scikit-learn, and SQL. Built predictive churn models and optimized machine learning pipelines with TensorFlow. Synthetic benchmark variant 1.","We are seeking a Senior Data Scientist proficient in Python, SQL, Pandas, NumPy, and scikit-learn. Experience with machine learning model deployment required. Evaluation scenario variant 1.","80",""
"pair-standard-match-02","Junior Data Scientist","Junior Data Scientist with academic experience in Python, Pandas, NumPy, and scikit-learn. Completed capstone projects on customer classification and regression. Synthetic benchmark variant 2.","Junior Data Scientist. Looking for entry-level candidate with knowledge of Python, Pandas, NumPy, and basic scikit-learn algorithms. Evaluation scenario variant 2.","88",""
"pair-standard-match-03","Full Stack Engineer","Lead Full Stack Developer with 6 years building modern web apps with TypeScript, React, Next.js, Node.js, HTML, and CSS. Designed relational schemas in PostgreSQL with SQL. Synthetic benchmark variant 3.","Looking for a Full Stack Engineer proficient in React, TypeScript, HTML, CSS, and SQL backend services. Next.js knowledge is highly desirable. Evaluation scenario variant 3.","90",""
"pair-standard-match-04","Senior Android Developer","Senior Android Engineer with 5 years building native Android apps in Kotlin and Java using Jetpack Compose, Coroutines, Room, and Gradle. Published 4 apps to Google Play. Synthetic benchmark variant 4.","Senior Android Developer wanted. Required skills: Kotlin, Java, Jetpack Compose, Room database, and Gradle build tooling. Evaluation scenario variant 4.","95",""
"pair-standard-match-05","iOS Developer","iOS Developer with 4 years experience creating native iOS applications with Swift, SwiftUI, Combine, and Xcode. Integrated CoreData and App Store deployments. Synthetic benchmark variant 5.","Looking for an iOS Developer skilled in Swift, SwiftUI, Xcode, and Apple mobile architecture. Experience with Combine is a plus. Evaluation scenario variant 5.","80",""
"pair-standard-match-06","Senior UI/UX Designer","Senior Product Designer with 5 years experience in Figma, Adobe XD, user research, wireframing, interactive prototyping, and creating scalable design systems. Synthetic benchmark variant 6.","Seeking a Senior UI/UX Designer proficient in Figma, Adobe XD, user personas, wireframing, and design system governance. Evaluation scenario variant 6.","85",""
"pair-standard-match-07","Senior Data Scientist","Senior Data Scientist with 5 years experience in Python, Pandas, NumPy, scikit-learn, and SQL. Built predictive churn models and optimized machine learning pipelines with TensorFlow. Synthetic benchmark variant 7.","We are seeking a Senior Data Scientist proficient in Python, SQL, Pandas, NumPy, and scikit-learn. Experience with machine learning model deployment required. Evaluation scenario variant 7.","83",""
"pair-standard-match-08","Junior Data Scientist","Junior Data Scientist with academic experience in Python, Pandas, NumPy, and scikit-learn. Completed capstone projects on customer classification and regression. Synthetic benchmark variant 8.","Junior Data Scientist. Looking for entry-level candidate with knowledge of Python, Pandas, NumPy, and basic scikit-learn algorithms. Evaluation scenario variant 8.","75",""
"pair-standard-match-09","Full Stack Engineer","Lead Full Stack Developer with 6 years building modern web apps with TypeScript, React, Next.js, Node.js, HTML, and CSS. Designed relational schemas in PostgreSQL with SQL. Synthetic benchmark variant 9.","Looking for a Full Stack Engineer proficient in React, TypeScript, HTML, CSS, and SQL backend services. Next.js knowledge is highly desirable. Evaluation scenario variant 9.","88",""
"pair-standard-match-10","Senior Android Developer","Senior Android Engineer with 5 years building native Android apps in Kotlin and Java using Jetpack Compose, Coroutines, Room, and Gradle. Published 4 apps to Google Play. Synthetic benchmark variant 10.","Senior Android Developer wanted. Required skills: Kotlin, Java, Jetpack Compose, Room database, and Gradle build tooling. Evaluation scenario variant 10.","88",""
"pair-partial-match-01","Senior Machine Learning Engineer","Data Analyst with 2 years experience writing complex SQL queries and exploratory data analysis using Python and Pandas. Created dashboards and business reports. Synthetic benchmark variant 1.","Senior Machine Learning Engineer required. Must have deep expertise in Python, TensorFlow, scikit-learn, and distributed ML pipelines. SQL experience is a plus. Evaluation scenario variant 1.","78",""
"pair-partial-match-02","Senior Frontend Engineer","Frontend Developer specializing in HTML, CSS, JavaScript, and responsive UI styling. Built landing pages and interactive client interfaces. Synthetic benchmark variant 2.","Senior Frontend Engineer needed. Must have strong expertise in React, TypeScript, modern state management, HTML, and CSS. Evaluation scenario variant 2.","90",""
"pair-partial-match-03","Android App Developer","Java Backend Developer with 3 years experience writing Java microservices and enterprise Spring applications. Familiar with object-oriented design and SQL. Synthetic benchmark variant 3.","Android App Developer. Must know Kotlin, Android SDK, Jetpack Compose, and Java. Evaluation scenario variant 3.","78",""
